#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-08-29T15:01:58 [V7.32.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-08-29T15:01:58	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=Vmag
#Vmag=<=8
#-out=B-V
#HIPep=HIPep
#Erratum=Erratum
#-out=_RA.icrs
#_RA.icrs=!null
#-out=_DE.icrs
#_DE.icrs=!null
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.4	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	
#INFO	publisher=CDS	
#INFO	creator=ESA 1997	
#INFO	related_resource=bibcode:1997HIP...C......0E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	
#INFO	publication_date=2021-11-18	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
_RAJ2000	_DEJ2000	HIP	Vmag	B-V	_RA.icrs	_DE.icrs
116.3395898155	-39.3452025046	 37829	 7.19	-0.027	116.33958982	-39.34520250
116.3409326018	-00.5134049914	 37831	 7.61	 0.374	116.34093260	-00.51340499
116.3544488695	-44.8825768278	 37837	 7.56	 0.116	116.35444887	-44.88257683
116.3640172946	-37.5962762518	 37838	 6.99	-0.065	116.36401729	-37.59627625
116.3680156474	-40.7388563041	 37841	 7.93	 0.992	116.36801565	-40.73885630
116.3697191189	-14.6861666689	 37842	 7.03	 0.345	116.36971912	-14.68616667
116.3713863885	-14.6905371082	 37843	 6.06	 0.110	116.37138639	-14.69053711
116.3718363207	-10.1606697786	 37844	 7.55	 0.493	116.37183632	-10.16066978
116.3801633465	-58.9548665671	 37846	 7.84	 0.900	116.38016335	-58.95486657
116.3838779086	+25.9886427258	 37848	 7.35	 1.530	116.38387791	+25.98864273
116.3959259258	-34.1723633384	 37853	 5.36	 0.589	116.39592593	-34.17236334
116.3979869954	-56.7225700854	 37854	 6.10	 0.397	116.39798700	-56.72257009
116.4224245598	+34.5553953064	 37861	 7.99	 0.248	116.42242456	+34.55539531
116.4263999246	+39.5469459247	 37863	 7.14	 0.364	116.42639992	+39.54694592
116.4283317233	-05.6784758024	 37864	 7.10	 0.046	116.42833172	-05.67847580
116.4292212611	-48.3548107287	 37865	 7.47	 1.367	116.42922126	-48.35481073
116.4292062204	+64.7166287998	 37866	 7.85	 0.449	116.42920622	+64.71662880
116.4429818973	+10.3961509774	 37871	 7.55	 1.047	116.44298190	+10.39615098
116.4484611881	+02.5598480931	 37874	 7.97	 0.003	116.44846119	+02.55984809
116.4622226437	-07.5296568010	 37879	 7.46	 0.490	116.46222264	-07.52965680
116.4660572291	-24.2560589014	 37880	 6.73	-0.149	116.46605723	-24.25605890
116.4675850697	+65.1536758005	 37882	 7.79	 0.385	116.46758507	+65.15367580
116.4686279797	+65.1577906291	 37884	 7.74	 0.351	116.46862798	+65.15779063
116.4709930660	+26.7255533631	 37886	 7.87	 0.011	116.47099307	+26.72555336
116.4762399341	-44.7617853129	 37887	 7.54	 1.025	116.47623993	-44.76178531
116.4869583794	-14.5638049961	 37891	 5.03	 0.342	116.48695838	-14.56380500
116.4884076228	-18.9045274250	 37892	 7.58	 1.486	116.48840762	-18.90452742
116.5054365493	-23.2598945443	 37896	 7.51	-0.118	116.50543655	-23.25989454
116.5069607643	+55.6423614297	 37898	 7.54	 0.189	116.50696076	+55.64236143
116.5088360846	-57.2381645245	 37900	 7.95	 1.609	116.50883608	-57.23816452
116.5091258538	-06.7725107918	 37901	 5.49	 1.378	116.50912585	-06.77251079
116.5128695367	-67.4319606086	 37904	 7.75	-0.003	116.51286954	-67.43196061
116.5147764865	-23.1416521632	 37906	 6.95	 0.509	116.51477649	-23.14165216
116.5310301438	+18.5100435234	 37908	 4.89	 1.425	116.53103014	+18.51004352
116.5331485142	+21.1220039847	 37909	 7.41	 0.384	116.53314851	+21.12200398
116.5379348789	-51.5507379679	 37910	 7.31	 0.870	116.53793488	-51.55073797
116.5386208752	+16.4384424796	 37911	 7.55	 1.440	116.53862088	+16.43844248
116.5423911755	-03.9611174462	 37913	 7.65	 0.000	116.54239118	-03.96111745
116.5429934629	+23.5486756468	 37914	 7.69	-0.098	116.54299346	+23.54867565
116.5439345557	-37.9336700140	 37915	 5.87	-0.111	116.54393456	-37.93367001
116.5583608448	+51.0256736899	 37917	 6.97	 1.627	116.55836084	+51.02567369
116.5675031438	+10.7682518529	 37921	 5.25	 0.018	116.56750314	+10.76825185
116.5759552427	-71.7202981150	 37924	 7.57	 0.438	116.57595524	-71.72029811
116.5788029438	-37.8977390468	 37925	 7.71	 0.020	116.57880294	-37.89773905
116.5793522470	-46.1596397797	 37926	 7.58	-0.060	116.57935225	-46.15963978
116.5810507018	-28.9105032171	 37927	 7.85	 0.256	116.58105070	-28.91050322
116.5920904010	-33.4253513075	 37928	 7.90	-0.093	116.59209040	-33.42535131
116.5970122267	-61.4301523666	 37930	 7.38	 0.758	116.59701223	-61.43015237
116.6003017778	-49.2410452520	 37932	 6.95	 0.163	116.60030178	-49.24104525
116.6142266399	+62.8305224917	 37934	 6.50	 0.262	116.61422664	+62.83052249
116.6393089667	-40.0595126221	 37938	 6.56	-0.124	116.63930897	-40.05951262
116.6392200226	-37.7725695724	 37939	 6.31	 1.348	116.63922002	-37.77256957
116.6424828791	-06.3400737874	 37940	 7.98	 0.346	116.64248288	-06.34007379
116.6452313991	-11.6880055651	 37941	 7.93	 0.094	116.64523140	-11.68800557
116.6472967240	+04.1305988864	 37942	 7.49	 0.628	116.64729672	+04.13059889
116.6550124418	+01.8577300782	 37943	 7.44	 0.103	116.65501244	+01.85773008
116.6636728625	+37.5173941280	 37946	 5.15	 1.588	116.66367286	+37.51739413
116.6663249425	-50.9972645131	 37948	 7.35	 0.131	116.66632494	-50.99726451
116.6669944202	+65.4556756178	 37949	 5.93	 1.183	116.66699442	+65.45567562
116.6828484466	-48.1121242007	 37950	 7.31	 0.099	116.68284845	-48.11212420
116.6863071501	-12.6753128144	 37951	 6.39	-0.004	116.68630715	-12.67531281
116.6918062851	-46.8016650697	 37953	 7.27	-0.099	116.69180629	-46.80166507
116.6918104498	-20.8312615146	 37954	 7.34	-0.400	116.69181045	-20.83126151
116.7081742599	-08.8199833200	 37956	 7.84	 0.833	116.70817426	-08.81998332
116.7083990442	-29.9484340104	 37957	 8.00	-0.098	116.70839904	-29.94843401
116.7202278114	+81.6824381171	 37961	 7.87	 0.086	116.72022781	+81.68243812
116.7362259135	-52.3471591832	 37966	 6.93	-0.125	116.73622591	-52.34715918
116.7408069604	-50.1844690754	 37970	 7.08	 0.013	116.74080696	-50.18446908
116.7517187150	+04.9252596039	 37974	 7.05	 0.089	116.75171871	+04.92525960
116.7516757837	+55.5413633297	 37973	 7.97	 1.675	116.75167578	+55.54136333
116.7517374373	+64.0519284235	 37975	 6.78	 0.125	116.75173744	+64.05192842
116.7703017245	+69.1545495764	 37979	 7.13	 0.288	116.77030172	+69.15454958
116.7707139699	+34.9612687587	 37980	 7.68	 0.219	116.77071397	+34.96126876
116.7739888954	-39.3309956164	 37982	 6.33	-0.142	116.77398890	-39.33099562
116.7799652903	-41.5037272851	 37983	 6.93	-0.168	116.77996529	-41.50372729
116.7806424452	-41.5175000082	 37985	 7.65	 1.484	116.78064245	-41.51750001
116.7837082628	-43.3412125143	 37987	 7.67	 0.005	116.78370826	-43.34121251
116.7874861134	+23.6637107969	 37988	 7.52	 0.993	116.78748611	+23.66371080
116.7911823756	+00.9187807019	 37990	 7.44	 1.301	116.79118238	+00.91878070
116.7922427467	-39.1032648423	 37992	 7.12	 0.372	116.79224275	-39.10326484
116.7959817756	-43.3945375478	 37993	 7.58	-0.050	116.79598178	-43.39453755
116.8023068367	-22.5195102281	 37995	 5.90	-0.180	116.80230684	-22.51951023
116.8108093120	-36.0736002934	 37996	 6.46	 1.083	116.81080931	-36.07360029
116.8367429507	+47.3382343083	 38003	 7.73	 1.096	116.83674295	+47.33823431
116.8429417065	+33.5643446307	 38004	 7.32	 1.038	116.84294171	+33.56434463
116.8482666752	-53.3324467947	 38007	 7.60	-0.005	116.84826668	-53.33244679
116.8541348844	-38.5111445907	 38010	 5.07	-0.112	116.85413488	-38.51114459
116.8763481271	+33.4156970632	 38016	 5.14	 1.635	116.87634813	+33.41569706
116.8767279302	-81.5964315952	 38017	 6.79	 0.160	116.87672793	-81.59643160
116.8774192724	+70.2066659090	 38018	 7.06	 0.712	116.87741927	+70.20666591
116.8812783992	-46.6084900471	 38020	 5.22	-0.151	116.88127840	-46.60849005
116.8856207516	+09.6325592340	 38021	 7.08	 0.576	116.88562075	+09.63255923
116.8877389835	+08.9722659272	 38022	 7.08	 0.428	116.88773898	+08.97226593
116.8967111020	-47.0129528390	 38028	 6.98	-0.108	116.89671110	-47.01295284
116.8974850779	-30.5486277411	 38029	 7.87	 0.256	116.89748508	-30.54862774
116.9105275593	-15.9906885328	 38031	 6.31	 1.791	116.91052756	-15.99068853
116.9302930979	-32.6714428767	 38035	 7.41	 0.248	116.93029310	-32.67144288
116.9383660668	-16.0144830972	 38037	 6.38	 1.697	116.93836607	-16.01448310
116.9417449092	-19.9847198592	 38038	 7.99	-0.100	116.94174491	-19.98471986
116.9494750678	-03.5296488329	 38039	 7.91	 0.150	116.94947507	-03.52964883
116.9585946791	+07.3413476208	 38043	 7.52	-0.081	116.95859468	+07.34134762
116.9829018453	+21.0348641994	 38046	 7.82	 1.419	116.98290185	+21.03486420
116.9863318626	-12.1927046592	 38048	 5.48	 0.478	116.98633186	-12.19270466
116.9883143082	+60.2960550744	 38052	 7.01	 0.587	116.98831431	+60.29605507
116.9935971531	+28.6674297742	 38055	 7.50	 0.934	116.99359715	+28.66742977
116.9953277881	-19.4035882312	 38056	 7.61	 0.157	116.99532779	-19.40358823
117.0104948942	+83.0690083168	 38061	 7.87	 1.380	117.01049489	+83.06900832
117.0142450826	+05.4098114754	 38062	 6.61	 1.580	117.01424508	+05.40981148
117.0177413099	-44.0020502796	 38066	 7.68	 1.678	117.01774131	-44.00205028
117.0215344374	-25.9371685817	 38070	 4.40	-0.070	117.02153444	-25.93716858
117.0356144977	-40.6523780242	 38074	 6.14	 1.591	117.03561450	-40.65237802
117.0411916197	-42.5077156125	 38076	 7.80	-0.043	117.04119162	-42.50771561
117.0519521064	-24.5771988016	 38079	 6.85	-0.029	117.05195211	-24.57719880
117.0627863244	-54.7142845762	 38081	 6.62	 1.111	117.06278632	-54.71428458
117.0663312335	-06.7737726101	 38083	 7.17	 0.285	117.06633123	-06.77377261
117.0690574488	+49.3703146427	 38084	 7.71	 0.460	117.06905745	+49.37031464
117.0788428445	-28.3585129687	 38085	 7.76	 0.990	117.07884284	-28.35851297
117.0812520065	-56.4710752242	 38087	 6.30	 1.010	117.08125201	-56.47107522
117.0840036877	-47.0777224964	 38089	 4.69	 1.039	117.08400369	-47.07772250
117.0852898964	+49.7568528015	 38090	 7.35	 1.092	117.08528990	+49.75685280
117.0942031403	+18.3367858853	 38092	 6.70	 0.927	117.09420314	+18.33678589
117.0980365013	+76.9860818611	 38097	 7.78	 1.011	117.09803650	+76.98608186
117.1143095539	+36.6434385599	 38098	 7.91	 0.284	117.11430955	+36.64343856
117.1200450713	+28.7642443701	 38101	 6.86	 1.001	117.12004507	+28.76424437
117.1202459909	+59.0848511009	 38102	 7.98	 0.406	117.12024599	+59.08485110
117.1273376310	-12.2185698617	 38103	 7.76	 1.588	117.12733763	-12.21856986
117.1401626017	+23.1409795317	 38106	 6.18	 0.571	117.14016260	+23.14097953
117.1404065926	-52.6841367362	 38107	 7.41	 0.112	117.14040659	-52.68413674
117.1482359458	-22.0092465383	 38108	 7.31	 1.173	117.14823595	-22.00924654
117.1509621176	+74.0432085284	 38109	 7.17	 1.427	117.15096212	+74.04320853
117.1520273457	-30.7559851003	 38110	 7.20	-0.159	117.15202735	-30.75598510
117.1608619864	-63.6888726779	 38114	 7.95	-0.006	117.16086199	-63.68887268
117.1738240286	-31.6178107011	 38118	 6.97	-0.106	117.17382403	-31.61781070
117.1786256809	-30.2546808353	 38120	 7.52	 0.647	117.17862568	-30.25468084
117.1829555324	-19.1748745886	 38121	 7.39	 1.348	117.18295553	-19.17487459
117.1986412367	-61.1626222696	 38127	 7.90	 0.412	117.19864124	-61.16262227
117.2055725513	-35.7397662328	 38128	 7.57	 1.684	117.20557255	-35.73976623
117.2054138558	-38.2040675216	 38129	 7.14	 0.489	117.20541386	-38.20406752
117.2146471349	-43.3112804171	 38133	 7.12	-0.143	117.21464713	-43.31128042
117.2231715425	-24.9734188210	 38134	 7.93	 0.546	117.22317154	-24.97341882
117.2237440633	+18.1902579919	 38135	 6.91	 1.160	117.22374406	+18.19025799
117.2425915525	+00.6619399964	 38138	 7.46	 0.356	117.24259155	+00.66194000
117.2457520233	+04.3336983099	 38140	 6.55	 0.786	117.24575202	+04.33369831
117.2535293091	+28.5739625414	 38144	 7.82	 0.211	117.25352931	+28.57396254
117.2569761607	-24.9122076065	 38146	 5.32	 0.751	117.25697616	-24.91220761
117.2576540989	+13.3718689558	 38147	 6.07	 1.367	117.25765410	+13.37186896
117.2755294811	-11.1811069451	 38150	 6.73	 0.286	117.27552948	-11.18110695
117.2779806921	-56.4103600583	 38152	 5.57	 1.116	117.27798069	-56.41036006
117.2788000631	+10.8059183861	 38153	 7.68	 1.068	117.27880006	+10.80591839
117.2999302705	-04.6588169414	 38158	 7.59	 1.010	117.29993027	-04.65881694
117.3035982493	-46.8577173865	 38159	 5.82	-0.142	117.30359825	-46.85771739
117.3037584505	-60.2836884877	 38160	 5.78	 0.428	117.30375845	-60.28368849
117.3049677661	-10.4993440865	 38161	 7.42	 0.019	117.30496777	-10.49934409
117.3062421142	+19.7694532086	 38163	 7.71	 0.915	117.30624211	+19.76945321
117.3095629549	-46.3732053178	 38164	 4.10	-0.160	117.30956295	-46.37320532
117.3096003087	-40.7010637136	 38165	 6.53	-0.151	117.30960031	-40.70106371
117.3110374371	-35.2432863767	 38167	 5.94	-0.051	117.31103744	-35.24328638
117.3235631960	-24.8597857357	 38170	 3.34	 1.218	117.32356320	-24.85978574
117.3285505286	+24.4887254896	 38172	 7.09	 0.488	117.32855053	+24.48872549
117.3316398037	-33.3298047871	 38173	 7.67	 1.053	117.33163980	-33.32980479
117.3327493869	-11.4292011065	 38174	 7.90	 0.087	117.33274939	-11.42920111
117.3506777491	-30.5580073661	 38177	 7.54	 0.460	117.35067775	-30.55800737
117.3610433359	-59.3808441348	 38179	 7.49	 0.675	117.36104334	-59.38084413
117.3651497839	-54.8122916676	 38181	 7.43	 0.885	117.36514978	-54.81229167
117.3678367205	-44.7511569116	 38183	 6.32	 0.962	117.36783672	-44.75115691
117.3700314945	-13.3529480303	 38184	 6.23	-0.078	117.37003149	-13.35294803
117.3701353495	-15.3454059946	 38185	 7.80	 1.470	117.37013535	-15.34540599
117.3741072244	+03.2210030972	 38189	 7.72	 0.974	117.37410722	+03.22100310
117.3772909505	-39.0011854332	 38192	 7.27	 1.100	117.37729095	-39.00118543
117.3846382204	+12.8142503618	 38196	 6.42	 0.984	117.38463822	+12.81425036
117.3850943347	-21.2849575018	 38197	 7.98	-0.132	117.38509433	-21.28495750
117.3975099961	-33.2889498993	 38200	 5.61	 1.617	117.39751000	-33.28894990
117.4003592782	+24.2692252554	 38201	 7.79	 1.575	117.40035928	+24.26922526
117.4024568949	+14.1312993755	 38202	 7.80	 1.023	117.40245689	+14.13129938
117.4116669953	-55.0789592631	 38203	 7.28	 0.000	117.41166700	-55.07895926
117.4165649807	-14.0853594775	 38206	 6.34	 1.660	117.41656498	-14.08535948
117.4173817279	+12.1487637747	 38207	 7.09	 1.238	117.41738173	+12.14876377
117.4194297249	+13.8585049885	 38208	 7.62	 1.017	117.41942972	+13.85850499
117.4198431567	-19.5055179723	 38209	 6.49	 1.234	117.41984316	-19.50551797
117.4208056801	-66.1959744397	 38210	 5.78	-0.040	117.42080568	-66.19597444
117.4216718782	-17.2284077881	 38211	 5.17	 1.282	117.42167188	-17.22840779
117.4385969859	-20.2076292423	 38216	 6.54	 0.579	117.43859699	-20.20762924
117.4406266361	-19.0069074407	 38217	 7.90	 1.745	117.44062664	-19.00690744
117.4432979877	+15.1064706140	 38218	 7.78	 1.135	117.44329799	+15.10647061
117.4487739614	+26.2638226808	 38221	 6.82	 0.961	117.44877396	+26.26382268
117.4595173194	-36.0935246458	 38222	 6.76	 1.553	117.45951732	-36.09352465
117.4675743159	-40.9145433183	 38224	 7.08	-0.070	117.46757432	-40.91454332
117.4726462061	+86.3652764633	 38225	 7.88	 0.601	117.47264621	+86.36527646
117.4781900023	-60.0514415057	 38226	 6.72	 1.239	117.47819000	-60.05144151
117.4794212554	+27.3631814322	 38228	 6.90	 0.682	117.47942126	+27.36318143
117.4875820941	+28.1987511783	 38231	 6.77	 0.089	117.48758209	+28.19875118
117.4961781868	-23.7982523235	 38235	 6.73	 0.310	117.49617819	-23.79825232
117.5236218709	-19.5235481185	 38246	 6.11	 1.265	117.52362187	-19.52354812
117.5284792825	+22.7316576918	 38247	 7.82	 1.373	117.52847928	+22.73165769
117.5326261369	+60.3421267328	 38249	 6.78	 0.092	117.53262614	+60.34212673
117.5440688592	-09.1834413569	 38253	 5.60	 1.446	117.54406886	-09.18344136
117.5562808700	+39.7707354172	 38257	 6.83	 1.635	117.55628087	+39.77073542
117.5755680546	+28.7312676729	 38261	 7.66	 1.108	117.57556805	+28.73126767
117.5862710071	-35.7905871747	 38262	 7.21	 1.530	117.58627101	-35.79058717
117.5902593217	+10.5061022297	 38263	 7.94	 0.885	117.59025932	+10.50610223
117.5946899150	+05.7651863835	 38265	 7.62	 0.013	117.59468992	+05.76518638
117.5951549857	+45.7918767596	 38266	 7.06	 0.197	117.59515499	+45.79187676
117.5992647998	-50.5094679983	 38267	 5.89	 1.088	117.59926480	-50.50946800
117.6083366700	-36.2418942140	 38268	 7.26	-0.072	117.60833667	-36.24189421
117.6205802427	+09.7654946429	 38273	 7.92	 0.401	117.62058024	+09.76549464
117.6276060722	-03.5977171956	 38274	 7.31	 0.344	117.62760607	-03.59771720
117.6316133837	+14.8415880517	 38276	 7.29	 0.420	117.63161338	+14.84158805
117.6427204017	-01.6097816504	 38280	 7.99	-0.045	117.64272040	-01.60978165
117.6537876130	-05.8029400032	 38282	 7.78	 0.035	117.65378761	-05.80294000
117.6598995138	+15.9683161672	 38284	 7.98	 1.054	117.65989951	+15.96831617
117.6656717090	+24.1610264100	 38287	 7.07	 0.220	117.66567171	+24.16102641
117.6694046754	-48.5430299426	 38290	 7.91	 0.006	117.66940468	-48.54302994
117.6771183372	-44.5799452401	 38292	 6.45	 0.899	117.67711834	-44.57994524
117.6969294669	-70.7781454904	 38299	 7.86	 0.322	117.69692947	-70.77814549
117.6974795054	+03.2772530314	 38300	 6.17	 1.106	117.69747951	+03.27725303
117.7023529795	+05.8593104083	 38301	 6.96	 0.040	117.70235298	+05.85931041
117.7129116403	+04.4595136246	 38303	 6.49	 0.944	117.71291164	+04.45951362
117.7226214767	+00.0795559051	 38306	 6.38	 1.237	117.72262148	+00.07955591
117.7301616701	-11.1286015344	 38307	 6.16	 1.128	117.73016167	-11.12860153
117.7367854105	-59.6462181599	 38310	 7.31	 0.008	117.73678541	-59.64621816
117.7503341890	-24.5285572093	 38316	 6.43	-0.003	117.75033419	-24.52855721
117.7508164303	+31.6135348972	 38317	 6.83	 0.180	117.75081643	+31.61353490
117.7598205644	+33.2336533625	 38319	 6.06	 0.150	117.75982056	+33.23365336
117.7608026697	+07.4380271994	 38322	 7.44	 0.047	117.76080267	+07.43802720
117.7632331929	+00.6746694237	 38323	 7.91	 1.289	117.76323319	+00.67466942
117.7737936657	+54.1292404299	 38325	 6.03	 0.496	117.77379367	+54.12924043
117.7753463913	+37.2117372319	 38328	 7.37	 0.465	117.77534639	+37.21173723
117.7757123294	+31.6159535044	 38329	 7.73	 0.180	117.77571233	+31.61595350
117.7762285773	-18.2472929890	 38331	 6.59	 0.958	117.77622858	-18.24729299
117.8076076495	-62.9301639148	 38344	 7.07	 1.020	117.80760765	-62.93016391
117.8082287579	-47.2164124610	 38345	 6.53	-0.118	117.80822876	-47.21641246
117.8139297138	+37.0820853726	 38349	 6.49	 1.510	117.81392971	+37.08208537
117.8238970450	-11.1718473031	 38350	 7.74	 1.055	117.82389704	-11.17184730
117.8303795198	+54.7322956454	 38354	 7.08	 1.553	117.83037952	+54.73229565
117.8347443827	-43.0952321683	 38355	 6.34	-0.173	117.83474438	-43.09523217
117.8353201878	-09.4046932518	 38356	 6.83	 0.084	117.83532019	-09.40469325
117.8507930255	+14.1704868406	 38360	 7.99	 1.434	117.85079303	+14.17048684
117.8607963985	+29.1680078389	 38363	 7.01	 0.855	117.86079640	+29.16800784
117.8821092023	-06.9832343154	 38366	 7.64	-0.070	117.88210920	-06.98323432
117.8881448957	-32.7161453014	 38367	 7.83	 1.376	117.88814490	-32.71614530
117.9181572764	-42.8882022653	 38370	 6.05	-0.181	117.91815728	-42.88820227
117.9203741547	-12.8194053756	 38372	 6.37	 0.384	117.92037415	-12.81940538
117.9249526890	+01.7668684625	 38373	 5.12	-0.116	117.92495269	+01.76686846
117.9292717756	-21.1736615854	 38375	 5.62	 0.956	117.92927178	-21.17366159
117.9395512473	-18.3575465024	 38379	 7.62	-0.003	117.93955125	-18.35754650
117.9429275360	-13.8980286984	 38382	 5.16	 0.600	117.94292754	-13.89802870
117.9497545163	+24.8207128897	 38385	 7.75	 1.043	117.94975452	+24.82071289
117.9522189483	-55.7025123535	 38387	 7.50	 0.948	117.95221895	-55.70251235
117.9549793694	-20.7206440053	 38388	 6.78	 0.420	117.95497937	-20.72064401
117.9828632608	-11.0329758754	 38392	 7.71	 0.721	117.98286326	-11.03297588
117.9859830090	-09.6557558307	 38393	 7.30	 0.266	117.98598301	-09.65575583
117.9865536780	+19.3250846727	 38394	 6.03	 1.125	117.98655368	+19.32508467
117.9885387673	-31.6364404465	 38395	 7.82	-0.148	117.98853877	-31.63644045
117.9950090559	+05.3496765861	 38397	 7.41	 0.389	117.99500906	+05.34967659
118.0040538452	-41.7868016610	 38400	 7.87	 1.470	118.00405385	-41.78680166
118.0161063837	+45.9329891456	 38403	 6.50	 0.213	118.01610638	+45.93298915
118.0164101148	+59.5005691904	 38404	 7.15	 1.284	118.01641011	+59.50056919
118.0299570827	+03.2773415675	 38406	 6.30	 1.464	118.02995708	+03.27734157
118.0304852412	-64.2942122001	 38407	 7.39	 0.121	118.03048524	-64.29421220
118.0352449534	+36.1691833686	 38409	 6.92	 1.630	118.03524495	+36.16918337
118.0352559988	-03.0541329408	 38410	 6.94	 0.276	118.03525600	-03.05413294
118.0543117719	-40.5757860080	 38414	 3.71	 1.012	118.05431177	-40.57578601
118.0554911374	-59.6136632989	 38416	 7.48	 0.013	118.05549114	-59.61366330
118.0602553408	-42.3225266826	 38420	 7.53	-0.100	118.06025534	-42.32252668
118.0648813090	+36.2699279866	 38422	 7.05	 0.589	118.06488131	+36.26992799
118.0652602422	-34.7054424204	 38423	 5.01	 0.470	118.06526024	-34.70544242
118.0786611429	-14.8461750731	 38427	 5.69	 0.368	118.07866114	-14.84617507
118.0927994865	-59.4931102022	 38433	 7.86	 0.078	118.09279949	-59.49311020
118.0943074477	+03.8431467275	 38434	 7.99	-0.078	118.09430745	+03.84314673
118.1176177348	+57.0176475269	 38437	 7.34	 1.588	118.11761773	+57.01764753
118.1182444369	-13.8627865889	 38436	 6.61	 1.084	118.11824444	-13.86278659
118.1239211244	-54.3671648512	 38438	 5.70	-0.151	118.12392112	-54.36716485
118.1517918265	+55.2094433205	 38449	 6.36	-0.003	118.15179183	+55.20944332
118.1580391494	-15.4279564089	 38453	 7.66	-0.020	118.15803915	-15.42795641
118.1589098525	+71.7841131812	 38454	 7.47	 1.241	118.15890985	+71.78411318
118.1610257970	-38.8628122892	 38455	 4.49	-0.188	118.16102580	-38.86281229
118.1668376640	+39.5382692440	 38458	 7.41	 0.309	118.16683766	+39.53826924
118.1754555813	+03.3838433192	 38460	 7.11	 0.194	118.17545558	+03.38384332
118.1873822939	-22.2240669078	 38464	 7.57	 1.578	118.18738229	-22.22406691
118.1994106295	-05.4282569300	 38474	 5.76	 0.412	118.19941063	-05.42825693
118.2093139094	-50.5216896854	 38477	 7.10	 0.011	118.20931391	-50.52168969
118.2310488340	+64.9036493458	 38489	 7.45	 1.538	118.23104883	+64.90364935
118.2502324257	-14.0579738253	 38493	 7.54	 1.154	118.25023243	-14.05797383
118.2516147583	-33.2970157792	 38494	 7.69	 0.170	118.25161476	-33.29701578
118.2542047661	+22.3345298026	 38495	 7.05	 1.018	118.25420477	+22.33452980
118.2646103118	-36.3637694464	 38497	 5.44	 1.161	118.26461031	-36.36376945
118.2651448902	-49.6130438824	 38500	 4.63	-0.228	118.26514489	-49.61304388
118.2719634749	-11.6248214921	 38502	 7.52	 1.730	118.27196347	-11.62482149
118.2724569410	+15.3773834939	 38503	 7.97	 0.061	118.27245694	+15.37738349
118.2733709312	-52.6747432943	 38504	 7.72	 1.149	118.27337093	-52.67474329
118.3067525723	-34.9385278808	 38512	 6.64	 0.819	118.30675257	-34.93852788
118.3165874552	-34.0388872358	 38516	 7.36	 1.641	118.31658746	-34.03888724
118.3256607856	-48.1029339240	 38518	 4.22	-0.130	118.32566079	-48.10293392
118.3333767910	+14.9173555128	 38524	 7.90	 0.873	118.33337679	+14.91735551
118.3377710518	+28.0519897529	 38525	 6.92	-0.006	118.33777105	+28.05198975
118.3453746474	+45.7413591742	 38527	 7.36	 1.031	118.34537465	+45.74135917
118.3510369261	+39.4818698007	 38530	 7.51	 1.199	118.35103693	+39.48186980
118.3581810295	+16.8459795507	 38533	 7.42	 1.110	118.35818103	+16.84597955
118.3718405069	-61.0544873985	 38536	 7.84	 0.004	118.37184051	-61.05448740
118.3742261298	+26.7657828196	 38538	 4.97	 0.098	118.37422613	+26.76578282
118.3900408314	-36.9360657026	 38544	 7.58	 0.218	118.39004083	-36.93606570
